co_cli;cliente;ciudad;direccion_principal;direccion_temporal;latitud;longitud;corregida
304915330;G.C. AUTOPARTES C.A.;CARACAS;AV FRANCISCO DE MIRANDA EDIF GUARIMBA PISO PB LOCAL 8 URB LOS DOS CAMINOS EDO MIRANDA;NULL;10.49458094;-66.83348626;NO
296255970;RUEDAS LA CARLOTA C,A.;CARACAS;CALLE GUANCHEZ ENTRE FRANCISCO MIRANDA Y ROMULO GALLEGOS LOCAL NRO.S/N URB. LOS DOS CAMINOS EDO MIRANDA;NULL;10.49404488;-66.83058314;NO
500575599;COMERCIALIZADORA DRI-K, C.A.;CARACAS;AV SAN IGNACIO EDIF VICTORIA PISO PB LOCAL B URB CHACAO CHARACAS EDO MIRANDA;NULL;10.49373354;-66.85597598;NO
500957971;REPUESTOS PLANETA 59, C.A.;CARACAS;AV. LOS APAMATES CASA NRO 3 PB LOCAL P.B. URB. SABANA GRANDE CARACAS - DISTRITO CAPITAL;NULL;10.49367218;-66.87499880;NO
507019616;TODO MOTO SPEED C.A.;CARACAS;AV SAN MARTIN CALLE BERNARDO SLIMARK LOCAL NRO C-10 SECTOR SAN MARTIN CARACAS DTTO CAPITAL;NULL;10.49339781;-66.93483807;NO
411712140;USADITOS CARS AG C.A.;CARACAS;CALLE LOS MANGOS QTA ANABELL NRO S/N URB SAN ANTONIO SABANA GRANDE CARACAS DTTO CAPITAL;NULL;10.49298940;-66.88185062;NO
402876874;INVERSIONES PRO MOTOS JJ C.A.;CARACAS;AV SUR 5 ESTE 1ERA Y SDA CALLE EDF CINE PISO B LOCAL LU SECTOR PUENTE HIERRO CARACAS DTTO FEDERAL;NULL;10.49297944;-66.91260855;NO
307706708;AUTO LAVADO PREVETE C.A.;CARACAS;CALLE CALLEJON MACHADO QTA SAN CARLOS NRO S/N URBANIZACION EL PARAISO CARACAS DTTO CAPITAL;NULL;10.49285028;-66.92377766;NO
311553916;FILTROS GLAVEOL C.A.;CARACAS;CALLE 6 EDF SEGRE II PISO 3 LOCAL UNICO URB LA URBINA CARACAS EDO MIRANDA;NULL;10.49244160;-66.81153217;NO
11514796;RICHARD RAMOS;CARACAS;CARACAS;NULL;10.49206435;-66.85176637;NO
506489848;GRUPO WD4MM C.A.;CARACAS;AV PRINCIPAL BELLO CAMPO MAZANA J LOCAL PARCELAS NRO 98-98-99-100 Y 117 URB BELLO CAMPO CARACAS CHACAO EDO MIRANDA;NULL;10.49206435;-66.85176637;NO
502238344;MULTIMASI 927 C.A.;CARACAS;CALLE 4TA TRANSVERSAL EDIF ROSA PISO PB LOCAL 1 URBANIZACION BOLEITA SUR CARACAS EDO MIRANDA;NULL;10.49197125;-66.82155397;NO
